,entity_id,score,label_value,majority_race,poverty-rate
2589,170311406023,0.0,0.0,Hispanic,22.42-100.00
2594,170311406024,0.0,0.0,Hispanic,9.58-22.42
2599,170311407011,0.0,0.0,None,9.58-22.42
2604,170311407012,0.0,0.0,Hispanic,9.58-22.42
2609,170311407021,0.0,0.0,Hispanic,22.42-100.00
2614,170311407022,0.0,0.0,Hispanic,9.58-22.42
2619,170311407023,0.0,0.0,Hispanic,22.42-100.00
2624,170311407024,0.0,0.0,Hispanic,0.00-1.80
2629,170311408001,0.0,0.0,None,9.58-22.42
2634,170311408002,0.0,0.0,White,0.00-1.80
2639,170311408003,0.0,0.0,White,9.58-22.42
2644,170311408004,0.0,0.0,None,1.80-9.58
2649,170311408005,0.0,0.0,None,1.80-9.58
2654,170311502001,0.0,0.0,White,0.00-1.80
2659,170311502002,0.0,0.0,White,1.80-9.58
2664,170311502003,0.0,0.0,White,1.80-9.58
2669,170311502004,0.0,0.0,White,22.42-100.00
2674,170311502005,0.0,0.0,Hispanic,9.58-22.42
2679,170311503001,0.0,0.0,White,0.00-1.80
2684,170311503002,0.0,0.0,White,9.58-22.42
